
Quantization finished!
Epoch: 070, Train loss: 9.2340, Train: 0.8410, Val: 0.8661, Test: 0.8859
Epoch: 071, Train loss: 9.2031, Train: 0.8400, Val: 0.8607, Test: 0.8804
Epoch: 072, Train loss: 9.1742, Train: 0.8379, Val: 0.8515, Test: 0.8752
Epoch: 073, Train loss: 9.1664, Train: 0.8345, Val: 0.8477, Test: 0.8737
Epoch: 074, Train loss: 9.1637, Train: 0.8344, Val: 0.8468, Test: 0.8652
Epoch: 075, Train loss: 9.1459, Train: 0.8419, Val: 0.8539, Test: 0.8691
Epoch: 076, Train loss: 9.1676, Train: 0.8415, Val: 0.8548, Test: 0.8783
Epoch: 077, Train loss: 9.1924, Train: 0.8366, Val: 0.8520, Test: 0.8730
Epoch: 078, Train loss: 9.1698, Train: 0.8397, Val: 0.8590, Test: 0.8759
Epoch: 079, Train loss: 9.2141, Train: 0.8466, Val: 0.8644, Test: 0.8885
Epoch: 080, Train loss: 9.1700, Train: 0.8420, Val: 0.8633, Test: 0.8817
Epoch: 081, Train loss: 9.1515, Train: 0.8459, Val: 0.8665, Test: 0.8848
Epoch: 082, Train loss: 9.1226, Train: 0.8525, Val: 0.8676, Test: 0.8867
Epoch: 083, Train loss: 9.1042, Train: 0.8554, Val: 0.8700, Test: 0.8909
Epoch: 084, Train loss: 9.1299, Train: 0.8502, Val: 0.8599, Test: 0.8915
Epoch: 085, Train loss: 9.1372, Train: 0.8462, Val: 0.8562, Test: 0.8891
Epoch: 086, Train loss: 9.0816, Train: 0.8403, Val: 0.8569, Test: 0.8828
Epoch: 087, Train loss: 9.0976, Train: 0.8460, Val: 0.8560, Test: 0.8869
Epoch: 088, Train loss: 9.0975, Train: 0.8494, Val: 0.8676, Test: 0.8846
Epoch: 089, Train loss: 9.1101, Train: 0.8517, Val: 0.8654, Test: 0.8909
Epoch: 090, Train loss: 9.0915, Train: 0.8447, Val: 0.8623, Test: 0.8830
Epoch: 091, Train loss: 9.0747, Train: 0.8402, Val: 0.8539, Test: 0.8776
Epoch: 092, Train loss: 9.0850, Train: 0.8402, Val: 0.8558, Test: 0.8809
Epoch: 093, Train loss: 9.0974, Train: 0.8475, Val: 0.8637, Test: 0.8863
Epoch: 094, Train loss: 9.1063, Train: 0.8568, Val: 0.8723, Test: 0.8943
Epoch: 095, Train loss: 9.0892, Train: 0.8517, Val: 0.8629, Test: 0.8881
Epoch: 096, Train loss: 9.0804, Train: 0.8617, Val: 0.8770, Test: 0.9043
Epoch: 097, Train loss: 9.0784, Train: 0.8652, Val: 0.8802, Test: 0.8993
Epoch: 098, Train loss: 9.0689, Train: 0.8616, Val: 0.8830, Test: 0.8981
Epoch: 099, Train loss: 9.0484, Train: 0.8684, Val: 0.8896, Test: 0.9019
Epoch: 100, Train loss: 9.0531, Train: 0.8622, Val: 0.8777, Test: 0.9056
Epoch: 101, Train loss: 9.0603, Train: 0.8621, Val: 0.8794, Test: 0.8996
Epoch: 102, Train loss: 9.0549, Train: 0.8640, Val: 0.8770, Test: 0.9015
Epoch: 103, Train loss: 9.0319, Train: 0.8658, Val: 0.8836, Test: 0.9026
Epoch: 104, Train loss: 9.0302, Train: 0.8653, Val: 0.8909, Test: 0.9035
Epoch: 105, Train loss: 9.0361, Train: 0.8653, Val: 0.8798, Test: 0.9109
Epoch: 106, Train loss: 9.0275, Train: 0.8769, Val: 0.8845, Test: 0.9163
Epoch: 107, Train loss: 9.0267, Train: 0.8743, Val: 0.8903, Test: 0.9128
Epoch: 108, Train loss: 9.0186, Train: 0.8700, Val: 0.8828, Test: 0.9120
Epoch: 109, Train loss: 9.0302, Train: 0.8713, Val: 0.8776, Test: 0.9141
Epoch: 110, Train loss: 9.0228, Train: 0.8687, Val: 0.8832, Test: 0.9181
Epoch: 111, Train loss: 9.0068, Train: 0.8728, Val: 0.8903, Test: 0.9198
