
Quantization finished!
Epoch: 070, Train loss: 9.2347, Train: 0.8383, Val: 0.8556, Test: 0.8804
Epoch: 071, Train loss: 9.2259, Train: 0.8285, Val: 0.8460, Test: 0.8674
Epoch: 072, Train loss: 9.2333, Train: 0.8368, Val: 0.8563, Test: 0.8830
Epoch: 073, Train loss: 9.2247, Train: 0.8388, Val: 0.8577, Test: 0.8937
Epoch: 074, Train loss: 9.2142, Train: 0.8383, Val: 0.8586, Test: 0.8978
Epoch: 075, Train loss: 9.2385, Train: 0.8472, Val: 0.8667, Test: 0.8985
Epoch: 076, Train loss: 9.2650, Train: 0.8478, Val: 0.8676, Test: 0.9031
Epoch: 077, Train loss: 9.2134, Train: 0.8509, Val: 0.8663, Test: 0.9031
Epoch: 078, Train loss: 9.1863, Train: 0.8530, Val: 0.8659, Test: 0.9037
Epoch: 079, Train loss: 9.1976, Train: 0.8499, Val: 0.8665, Test: 0.9000
Epoch: 080, Train loss: 9.1780, Train: 0.8459, Val: 0.8505, Test: 0.8985
Epoch: 081, Train loss: 9.1827, Train: 0.8426, Val: 0.8608, Test: 0.8985
Epoch: 082, Train loss: 9.1997, Train: 0.8407, Val: 0.8518, Test: 0.8894
Epoch: 083, Train loss: 9.1924, Train: 0.8286, Val: 0.8417, Test: 0.8794
Epoch: 084, Train loss: 9.1974, Train: 0.8387, Val: 0.8539, Test: 0.8824
Epoch: 085, Train loss: 9.1906, Train: 0.8421, Val: 0.8539, Test: 0.8843
Epoch: 086, Train loss: 9.1852, Train: 0.8497, Val: 0.8663, Test: 0.8976
Epoch: 087, Train loss: 9.1828, Train: 0.8514, Val: 0.8657, Test: 0.8996
Epoch: 088, Train loss: 9.2022, Train: 0.8574, Val: 0.8783, Test: 0.9056
Epoch: 089, Train loss: 9.1835, Train: 0.8604, Val: 0.8732, Test: 0.9161
Epoch: 090, Train loss: 9.1825, Train: 0.8624, Val: 0.8732, Test: 0.9089
Epoch: 091, Train loss: 9.1815, Train: 0.8511, Val: 0.8661, Test: 0.9004
Epoch: 092, Train loss: 9.1552, Train: 0.8519, Val: 0.8631, Test: 0.9019
Epoch: 093, Train loss: 9.1625, Train: 0.8492, Val: 0.8642, Test: 0.8981
Epoch: 094, Train loss: 9.1505, Train: 0.8506, Val: 0.8618, Test: 0.9039
Epoch: 095, Train loss: 9.1230, Train: 0.8503, Val: 0.8657, Test: 0.9039
Epoch: 096, Train loss: 9.1622, Train: 0.8511, Val: 0.8608, Test: 0.9041
Epoch: 097, Train loss: 9.1156, Train: 0.8434, Val: 0.8531, Test: 0.8861
Epoch: 098, Train loss: 9.1225, Train: 0.8420, Val: 0.8545, Test: 0.8931
Epoch: 099, Train loss: 9.1149, Train: 0.8401, Val: 0.8518, Test: 0.8830
Epoch: 100, Train loss: 9.1227, Train: 0.8364, Val: 0.8400, Test: 0.8826
Epoch: 101, Train loss: 9.0938, Train: 0.8354, Val: 0.8466, Test: 0.8804
